id,timestamp,category,title,content
131771,2020-08-31 10:32:00,Reuters,"Portugal's GDP sinks 13.9% in second quarter, final data show - Reuters","Portugal's economy contracted a record 13.9% in the second quarter of 2020 from the previous three-month period due to the impact of the coronavirus pandemic and lockdown, data from the National Statistics Institute (INE) showed on Monday."
782,2020-03-23 14:54:31,CNBC,Distributed Bio CEO on developing therapeutic antibody treatment against coronavirus,"CNBC's ""Squawk on the Street"" team discusses the possibility of a coronavirus cure with Jake Glanville, CEO of Distributed Bio."
46548,2020-05-29 15:25:11,Reuters,Many Canadians watching events in U.S. with shock and horror: PM Trudeau,"Many Canadians are watching the riots in parts of the United States with shock and horror, Prime Minister Justin Trudeau said on Friday in a highly unusual commentary on American domestic affairs."
107696,2020-08-06 18:05:00,Reuters,Facebook removes small pro-Trump network based in Romania - Reuters,"Facebook Inc said on Thursday it recently removed a small network of accounts operating from Romania that had been promoting President Donald Trump’s re-election campaign with stories about his support from conservatives, Black Americans, Christians and follo…"
14863,2020-04-10 11:56:52,Reuters,"UPDATE 2-Saudi, Russia seek to finalise oil cuts in G20 talks, want U.S. involved","Saudi Arabia, Russia and their allies will press Mexico on Friday to join an accord for collective oil production cuts equivalent to 10% of global supplies and will push the United States and other producers to remove a further 5%."
69627,2020-07-01 11:49:00,Reuters,Congo and the chocolate factory - New producer hits the sweet spot - Reuters UK,"Aisha Kalinda melts the chunks of cocoa in a pan and spoons the brown gloop into a mould which will become the latest bar produced at the Lowa chocolate factory, the first locally owned producer in Democratic Republic of Congo."
173884,2020-10-09 10:53:18,Reuters,Moscow talks raise hopes of a ceasefire in Nagorno-Karabakh conflict,"Azeri and ethnic Armenian forces fought new clashes on Friday, while plans to hold talks in Moscow raised hopes of ending the deadliest battles in the South Caucasus for more than 25 years."
54886,2020-06-13 00:58:59,Bloomberg,We Are Seeing a Rotation Into Cyclically-Depressed Stocks: GSAM's Koch,
82581,2020-07-13 17:11:00,Reuters,Body found at site of search for missing 'Glee' actress Naya Rivera - sheriff - Reuters UK,"A body has been found at the site where authorities were searching for missing ""Glee"" actress Naya Rivera, the Ventura, California, County Sheriff's office said on Twitter on Monday."
11810,2020-04-06 23:10:31,CNBC,New Jersey Gov. Phil Murphy says coronavirus numbers showing possible improvement,"Social distancing measures seem to be effective in slowing the spread of the virus, Murphy said on CNBC's ""Fast Money."""
177135,2020-10-13 10:51:00,Reuters,"England's Chilwell, Trippier withdraw from squad ahead of Denmark game - Reuters UK","Defenders Ben Chilwell and Kieran Tripper have withdrawn from the England squad ahead of Wednesday's Nations League fixture against Denmark, the team announced on Tuesday."
149251,2020-09-16 10:38:00,Reuters,"France says Lebanese depositors may not get all their cash, minutes show - Reuters","A senior French official has said it might be difficult for Lebanon's banks to stick to the principle that savers should not lose any of their deposits, according to the minutes of a meeting in which France outlined steps to help the crippled banking industry."
13535,2020-04-08 21:40:10,Reuters,Yemen's Houthis target areas in Yemen's port city of Hodeidah: Saudi state TV,"Saudi state TV said early on Thursday that Yemen's Houthis targeted residential areas in Yemen's port city of Hodeidah, hours before a ceasefire announced by the Saudi-led coalition takes effect."
40324,2020-05-19 21:30:10,Reuters,Exclusive: Third Point founder Daniel Loeb takes over as Munib Islam leaves firm,"Billionaire investor Daniel Loeb is taking back the reins as sole chief investment officer at his hedge fund Third Point LLC, less than one year after he appointed long-time colleague Munib Islam to be his co-chief investment officer, according to a letter th…"
